text,labels,multi_hot
Look how they twist facts to confuse the people.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The media is run by traitors hiding the truth. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
This is our last chance to defend our values.,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
"The hiking trail reopened after seasonal closures., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Only a true patriot would support this plan.!,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
History will remember this moment as our victory. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"Their lies have gone unchallenged for too long., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
A rare astronomical event will be visible tonight. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Only a true patriot would support this plan. (details inside),"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
A rare astronomical event will be visible tonight. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The media is run by traitors hiding the truth.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
No real citizen would oppose this measure.,"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
City council approved a new zoning regulation.,"[""emotional_framing""]","[1, 0, 0, 0]"
City council approved a new zoning regulation. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"Don't be fooled by foreign propaganda machines., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Public schools will start offering free meals next term. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
A rare astronomical event will be visible tonight. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
The latest smartphone model features improved battery life.,"[""emotional_framing""]","[1, 0, 0, 0]"
They want to control your thoughts with lies. - experts claim,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Don't be fooled by foreign propaganda machines. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Sales increased by 5% compared to last quarter. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
History will remember this moment as our victory.,"[""emotional_framing""]","[1, 0, 0, 0]"
History will remember this moment as our victory. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
An educational fair will be held downtown this weekend. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
City council approved a new zoning regulation. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Let’s silence the lies with our unity. - experts claim,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
A software update is now available for all users. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Join the resistance and reclaim our future. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The concert has been postponed to next Friday. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
No real citizen would oppose this measure. - witness report,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
The book has topped bestseller charts for the third week.,[],"[0, 0, 0, 0]"
The library introduced a new digital lending system.,[],"[0, 0, 0, 0]"
True strength lies in unity under one vision.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Look how they twist facts to confuse the people. - experts claim,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Their lies have gone unchallenged for too long. (details inside),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
An educational fair will be held downtown this weekend.,"[""emotional_framing""]","[1, 0, 0, 0]"
The wildlife reserve reported an increase in bird species. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The concert has been postponed to next Friday.,[],"[0, 0, 0, 0]"
True strength lies in unity under one vision. - experts claim,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
He is the savior our nation has been waiting for. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Public schools will start offering free meals next term. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
He is the savior our nation has been waiting for.!,"[""emotional_framing""]","[1, 0, 0, 0]"
History will remember this moment as our victory. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The team won the championship after a close match.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Traffic was delayed due to maintenance on the highway.,[],"[0, 0, 0, 0]"
The hiking trail reopened after seasonal closures. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Researchers published findings on the new vaccine trial. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"Public schools will start offering free meals next term., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
A rare astronomical event will be visible tonight. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
"A rare astronomical event will be visible tonight., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Temperatures are expected to drop over the weekend.,"[""emotional_framing""]","[1, 0, 0, 0]"
A local bakery was awarded for its traditional recipes. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
A local bakery was awarded for its traditional recipes.,[],"[0, 0, 0, 0]"
"True strength lies in unity under one vision., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Let’s silence the lies with our unity. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The team won the championship after a close match. (details inside),[],"[0, 0, 0, 0]"
"Only a true patriot would support this plan., say sources","[""absolutist_language"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[0, 1, 1, 1]"
Researchers published findings on the new vaccine trial.,[],"[0, 0, 0, 0]"
Let’s silence the lies with our unity.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
A rare astronomical event will be visible tonight. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Only a true patriot would support this plan. - breaking news,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
"Sales increased by 5% compared to last quarter., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
A rare astronomical event will be visible tonight.,[],"[0, 0, 0, 0]"
They’ll destroy everything unless we stop them.,"[""emotional_framing""]","[1, 0, 0, 0]"
The media is run by traitors hiding the truth. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The art exhibit opened to positive reviews from critics. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
